"ref_area","ref_area.label","source","source.label","indicator","indicator.label","time","obs_value"
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2027",6655.9
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2026",6706.8
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2025",6782.91
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2024",6861.8
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2023",6802.66
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2022",6924.37
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2021",6908.52
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2020",7369.04
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2019",7749.11
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2018",8063.77
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2017",8435.4
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2016",8719.17
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2015",9228.44
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2014",9422.76
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2013",9299.83
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2012",9179.76
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2011",8782.69
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2010",8810.82
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2009",8746.55
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2008",8981.02
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2007",8381.56
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2006",7640.47
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2005",7126.09
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2004",6432.98
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2003",6027.76
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2002",6068.76
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2001",5547.98
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","2000",5512.18
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1999",5529.27
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1998",5581.62
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1997",5503.61
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1996",5317.74
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1995",4890.99
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1994",4418.02
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1993",4493.85
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1992",6054.12
"AGO","Angola","XA:2010","ILO - Modelled Estimates","GDP_205U_NOC_NB","Output per worker (GDP constant 2015 US $) -- ILO modelled estimates, Nov. 2025","1991",6615.1
