Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,M1900_Value,M1900_Footnote_Code,M1900_Footnote_Text,M1900_MissingValue_Code,M1900_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2010,611050,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2011,763851,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2012,1103281,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2013,1006332,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2014,1141081,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2015,814965,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2016,572298,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2017,735431,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2018,618238,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2019,700123,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2020,590128,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2021,628348,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2022,678333,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2023,662054,0,,,
024,"Angola",True,1940,2102,5,True,True,"Included ports are: 
 AOLAD Luanda,
 AOLOB Lobito.",38,2024,709221,0,,,
